id,keyword,location,text,target
0,fire,US,People are trapped in the building fire,1
1,fire,US,People are trapped in the building fire,1
2,fire,US,People are trapped in the building fire,1
3,fire,US,People are trapped in the building fire,1
4,fire,US,People are trapped in the building fire,1
5,fire,US,People are trapped in the building fire,1
6,fire,US,People are trapped in the building fire,1
7,fire,US,People are trapped in the building fire,1
8,fire,US,People are trapped in the building fire,1
9,fire,US,People are trapped in the building fire,1
10,fire,US,People are trapped in the building fire,1
11,fire,US,People are trapped in the building fire,1
12,fire,US,People are trapped in the building fire,1
13,fire,US,People are trapped in the building fire,1
14,fire,US,People are trapped in the building fire,1
15,fire,US,People are trapped in the building fire,1
16,fire,US,People are trapped in the building fire,1
17,fire,US,People are trapped in the building fire,1
18,fire,US,People are trapped in the building fire,1
19,fire,US,People are trapped in the building fire,1
20,fire,US,People are trapped in the building fire,1
21,fire,US,People are trapped in the building fire,1
22,fire,US,People are trapped in the building fire,1
23,fire,US,People are trapped in the building fire,1
24,fire,US,People are trapped in the building fire,1
25,fire,US,People are trapped in the building fire,1
26,fire,US,People are trapped in the building fire,1
27,fire,US,People are trapped in the building fire,1
28,fire,US,People are trapped in the building fire,1
29,fire,US,People are trapped in the building fire,1
30,fire,US,People are trapped in the building fire,1
31,fire,US,People are trapped in the building fire,1
32,fire,US,People are trapped in the building fire,1
33,fire,US,People are trapped in the building fire,1
34,fire,US,People are trapped in the building fire,1
35,fire,US,People are trapped in the building fire,1
36,fire,US,People are trapped in the building fire,1
37,fire,US,People are trapped in the building fire,1
38,fire,US,People are trapped in the building fire,1
39,fire,US,People are trapped in the building fire,1
40,fire,US,People are trapped in the building fire,1
41,fire,US,People are trapped in the building fire,1
42,fire,US,People are trapped in the building fire,1
43,fire,US,People are trapped in the building fire,1
44,fire,US,People are trapped in the building fire,1
45,fire,US,People are trapped in the building fire,1
46,fire,US,People are trapped in the building fire,1
47,fire,US,People are trapped in the building fire,1
48,fire,US,People are trapped in the building fire,1
49,fire,US,People are trapped in the building fire,1
50,hello,UK,Hello world,0
51,hello,UK,Hello world,0
52,hello,UK,Hello world,0
53,hello,UK,Hello world,0
54,hello,UK,Hello world,0
55,hello,UK,Hello world,0
56,hello,UK,Hello world,0
57,hello,UK,Hello world,0
58,hello,UK,Hello world,0
59,hello,UK,Hello world,0
60,hello,UK,Hello world,0
61,hello,UK,Hello world,0
62,hello,UK,Hello world,0
63,hello,UK,Hello world,0
64,hello,UK,Hello world,0
65,hello,UK,Hello world,0
66,hello,UK,Hello world,0
67,hello,UK,Hello world,0
68,hello,UK,Hello world,0
69,hello,UK,Hello world,0
70,hello,UK,Hello world,0
71,hello,UK,Hello world,0
72,hello,UK,Hello world,0
73,hello,UK,Hello world,0
74,hello,UK,Hello world,0
75,hello,UK,Hello world,0
76,hello,UK,Hello world,0
77,hello,UK,Hello world,0
78,hello,UK,Hello world,0
79,hello,UK,Hello world,0
80,hello,UK,Hello world,0
81,hello,UK,Hello world,0
82,hello,UK,Hello world,0
83,hello,UK,Hello world,0
84,hello,UK,Hello world,0
85,hello,UK,Hello world,0
86,hello,UK,Hello world,0
87,hello,UK,Hello world,0
88,hello,UK,Hello world,0
89,hello,UK,Hello world,0
90,hello,UK,Hello world,0
91,hello,UK,Hello world,0
92,hello,UK,Hello world,0
93,hello,UK,Hello world,0
94,hello,UK,Hello world,0
95,hello,UK,Hello world,0
96,hello,UK,Hello world,0
97,hello,UK,Hello world,0
98,hello,UK,Hello world,0
99,hello,UK,Hello world,0
