"title","text","subject","date","label"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Breaking News","Government announces new policy","politics","2023","TRUE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
"Fake News","Aliens landed","fake","2023","FALSE"
